測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
三義,2023/01/01 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,
三義,2023/01/02 00:00:00,RAINFALL,0,0.5,0.5,1,1.5,1.0,0.0,0.5,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,
三義,2023/01/03 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,
三義,2023/01/04 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,#,#,0,0,0.0,0.0,0.0,0,0,0.0,
三義,2023/01/05 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,
三義,2023/01/06 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,
三義,2023/01/07 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,
三義,2023/01/08 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,
三義,2023/01/09 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,
三義,2023/01/10 00:00:00,RAINFALL,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,
三義,2023/01/11 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,
三義,2023/01/12 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,
三義,2023/01/13 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,
三義,2023/01/14 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,
三義,2023/01/15 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,
三義,2023/01/16 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,#,#,0,0,0.0,0.0,0.0,0,0,0.0,
三義,2023/01/17 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,#,0,0,0,0,0.0,0.0,0.0,0,0,0.5,
三義,2023/01/18 00:00:00,RAINFALL,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,
